,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_ident,Sulfatos_raiz4,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,prop_missings_sqr,aleatorio_raiz4,aleatorio2_log,Beneficio
29,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,Reg 3,0,0.023323368786622,0.5394169288703382,8.922166332698326,15.513141168454158,8.860419842650893,32.82137850087437,1.248589596323972,4.604017829773237,1.0657224179348321,1.8523113156095552,1.3645593560288818,2.035112206890459,1e-08,0.5320565307323679,0.6235494790032906,186
30,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,Reg 3,0,0.04126554688156947,0.9230328394411921,8.922166332698326,38.840834652261144,9.697722974972654,9.519558667679771,1.3308170032660043,1.9560128034984343,1.3225538517736226,1.7184216620349,1.3645593560288818,0.6317858411804862,1e-08,0.6136158022483638,1.1610473147921871,1155
31,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,Reg 2,0,0.04011712086019015,0.8156294795904673,8.38506080930294,20.57512370979586,21.12700873092894,9.247037998790091,1.318623870852697,3.595970461816352,1.3155869179148063,1.26613119566728,1.3645593560288818,0.1108515989969128,1e-08,0.609301794911298,1.037283103862515,361
32,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,Reg 2,0,0.008349481326386132,0.5135303323525442,8.922166332698326,4.456847487641403,17.857712096358174,9.421775536461586,1.467599263546428,4.303108167696554,1.263406417121189,1.6853731362001245,1.3645593560288818,0.0565705286244495,1e-08,0.4115924570454861,0.5743307408900896,893
33,2.73,0.33,-16.8,0.088,0.99082,4.14,0.58,16.9,2,1.32,R,***,Reg 3,1,0.27498018871900987,0.623549765996653,38.87227835563933,21.31438440173779,5.860198980055316,10.31999655344283,1.3156085753243882,4.4836539649425635,1.325996425255524,2.1800961936948324,1.3645593560288818,0.04729207186687624,3.670765282407223,0.9858562123584133,0.7685937526229079,517
34,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,Reg 2,0,0.031054766568699765,0.8974235062454006,4.30136603357969,13.003134370846709,9.129300496993903,10.483961002279198,1.3757976200708972,3.671197877335523,1.3898222586021836,2.2623910393257316,1.9297524380738358,1.256418329129784,1e-08,0.571526160582925,1.1328974774649565,356
35,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,Reg 1,0,0.08496466343871012,0.7316182622245507,20.84132789259809,4.251941895821869,8.824872747181299,9.460828212828803,1.3347250970579152,4.558881380461735,1.0700988562402882,1.3930396281581832,2.1575230219663686,0.46154786058507874,1e-08,0.735025347744132,0.9285229985277772,363
36,-0.88,0.26,6.8,0.298,0.96461,2.08,0.32,5.6,1,1.39,R,Desc,Reg 1,1,0.4190671696180893,0.26433791343282564,2.3291577845994014,19.629173032280775,9.772318169134792,15.052336504212228,1.183799944221755,1.3842844455527386,1.295221907132368,1.2549763362551583,0.9649150833430776,0.07023375788989472,3.670765282407223,1.0953639490222353,-0.09051731298953479,513
37,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,Reg 2,0,0.6830347818287511,0.8056830441253611,8.536818271917417,6.727934051772959,10.925541623342609,9.61784659989844,1.344712385755851,4.303108167696554,1.455500251872495,0.8714414508151272,1.6712221139600012,3.2651281019061864,1e-08,1.2376496619760327,1.0250070192731071,837
38,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,Reg 1,0,0.8205356414530279,0.27391311320726497,14.259044023026764,14.626795175831194,4.656087069948221,12.106076257967105,1.3875517371009058,3.2499243504281674,1.3167557711853985,1.75885929197249,1.9297524380738358,0.09769728147329666,1e-08,1.2957202594490747,-0.0548793327802718,338
39,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,Reg 2,0,0.29749975304575427,0.3864492881683107,8.460769414774614,20.81865019706756,15.071175247234555,13.098502602174886,1.1707099502072256,4.032289471827541,1.2246578834766435,1.7427968352034313,1.6712221139600012,0.41655339824784415,1e-08,1.0054482579193715,0.2897547344031281,457
40,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,Reg 1,0,0.1689269646564704,0.35696687308225417,2.532471201327324,8.715738879926072,8.967489823331876,6.237780278932608,1.3206796084552703,3.1446059687013292,1.276419025346587,1.7102194036056753,0.9649150833430776,0.5483516839411652,1e-08,0.8727989905949929,0.210307753689414,410
41,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,Reg 1,0,0.9439998922794168,0.5596984249329792,10.464066344682761,21.821923041342732,12.669351035654365,20.129776632766607,1.0869336001981238,3.3251517659473384,1.3167557711853985,2.0332540942959154,1.3645593560288818,0.4432732284526105,1e-08,1.3419297609309024,0.660486859319687,585
42,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,Reg 3,0,0.9084384964170479,0.09221894593108115,8.922166332698326,20.81865019706756,10.984890779749776,9.55881326444718,1.082072317762895,2.8436963066246466,1.320243780928285,1.7102194036056753,1.6712221139600012,0.4801916223143132,1e-08,1.3291093215658718,-1.1465363955841994,407
43,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,Reg 2,0,0.8830545731911511,0.5891209815493751,13.67413574848392,35.769903072841295,7.609240908277331,1.4734943890611296,1.311221055016116,4.047334954931375,1.1551132304898426,1.7668357617615182,0.01,0.007815533833268537,1e-08,1.3197258545318837,0.7117575874864808,595
44,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,Reg 3,0,0.5789951221790477,0.9057773756458635,8.234664353372976,76.85552692430467,16.568454441372634,9.324497206243894,1.3879568346856983,5.356291984964942,1.3085075077357102,1.8824313029327113,1.6712221139600012,4.208672258905986,1e-08,1.187560912156523,1.1421674361376362,714
45,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,Reg 3,1,0.18978851044760392,0.7245247881756366,4.087677549528291,23.695387234266697,16.25368683304305,9.131454948809973,1.2364293170809888,4.784563627019246,1.4945243017275658,1.7826816342808598,1.3645593560288818,0.4896519267777173,3.670765282407223,0.8985797133144183,0.9187745063257033,472
46,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,Reg 2,0,0.25771542241508527,0.3718410001410468,4.520498544369123,113.32059117115271,9.22889705523614,21.787750973340007,1.136414256256641,1.3391479962412358,1.4572257651312777,1.821693390669642,1.6712221139600012,4.406027679400936,1e-08,0.9700038615705566,0.2511779435883716,163
47,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,Reg 2,0,0.3654394959875883,0.3092847060976597,20.250127570785292,99.56291173437498,11.526267403257622,9.69684040239373,1.4550464452933416,1.2940115469297337,1.4405794128915022,1.6085332472448677,1.3645593560288818,0.2954123711148653,1e-08,1.058501793593175,0.06674648848813054,264
48,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,Reg 1,0,0.3273608082783106,0.8687157269829091,13.054307841868711,26.34236887160916,9.679118832085475,7.124285536044774,1.1222003170369286,3.836698191477698,1.3746862342582915,1.7905519845242452,1.6712221139600012,1.4133119932180886,1e-08,1.0297802891976133,1.100370157025998,951
49,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,Reg 1,0,0.1185786938468395,0.6271132555456315,16.244590987024964,18.07720207484877,17.78201897082348,9.55881326444718,1.4107284076459026,2.903878239039983,1.5351496836784775,1.7983878917978593,1.6712221139600012,0.009062704768629666,1e-08,0.7989002341558646,0.7742961353068678,397
50,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,Reg 2,0,0.4038581116595368,0.30508202548370167,8.536818271917417,52.74138015267901,10.611727852894962,9.776157277529332,1.2658258324394942,2.7534234080016424,1.1992094002249836,1.6172513124352552,1.6712221139600012,0.14477489052371956,1e-08,1.0852874621417012,0.05304631540603689,532
51,0.22,1.87,59.8,-0.235,1.03646,4.23,0.42,8.7,2,1.0,B,**,Reg 3,1,0.04198453538690761,0.18663307171686971,8.76700635337258,130.5059122506305,22.183869998061564,4.779327718979878,1.4795949700853286,4.6190633128770715,1.3073163705776225,1.5642142459026955,1.3645593560288818,1e-08,3.670765282407223,0.616271015006051,-0.43925981316267076,747
52,-0.73,1.41,4.0,0.595,0.99787,3.47,0.6,9.8,5,1.0,B,**,Reg 1,2,0.28636896278602175,0.4169678290911668,2.9646169101177,75.95650819244048,9.256153529810609,23.265465888781254,1.3450765376688714,3.4756065969856795,1.3282766635037482,1.6601550554031799,2.1575230219663686,1e-08,14.6822947699758,0.9959089437911673,0.3658422956674642,923
53,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,Reg 2,0,0.2740497990996378,0.24604494206807515,9.316020685257413,22.605981020997355,8.753992903378208,0.752619772631058,1.461741594382662,3.189742418012831,1.3001002463722,2.2623910393257316,0.9649150833430776,0.04156784602445155,1e-08,0.9850212618313223,-0.16234896321158224,574
54,0.38,0.26,-32.2,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,Reg 2,1,0.14270914337126916,0.5439920079236307,10.046394375144779,19.629173032280775,3.8437791495056963,9.266372512593511,1.2268947247526532,3.0392875869744906,1.3132398204639042,1.955702843244675,1.3645593560288818,0.033673625254750754,3.670765282407223,0.8367641070180699,0.632001752949447,770
55,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,Reg 1,0,0.08256430843333606,0.15103047850332008,18.527564356015972,66.73501296329634,15.787195524611294,9.189155609619943,1.324762521198648,4.152653336658213,1.0786940705150732,1.2209004072061371,1.3645593560288818,4.015838675971423,1e-08,0.7297784038938776,-0.6514512305656279,353
56,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,Reg 1,0,0.5806042512546689,0.05994881372143157,28.043921351186437,57.94719174325176,3.1198275024891378,4.097056757099596,1.3678293854567307,2.061331185225273,1.3439187921710216,2.2121103982780506,1.9297524380738358,1e-08,1e-08,1.1883851564275465,-1.5796616044426754,690
57,0.52,0.36,1.5,0.056,0.98976,4.31,1.29,18.3,1,1.04,R,***,Reg 1,1,0.6912031538009025,0.4024365692072419,11.237311745132136,22.080206604480747,8.807125992838515,9.677061663709878,1.3110027038809833,4.739427177707743,1.4006156139922936,2.268597764016971,0.9649150833430776,0.0007437033786356822,3.670765282407223,1.2413333997872893,0.3303345321883875,878
58,0.25,0.28,7.7,0.871,1.045,1.85,-0.46,9.4,2,3.49,R,***,Reg 3,1,0.81382915165572,0.21685678514871398,9.00025669986789,20.096583377782547,9.941202298288076,32.49453432573556,1.504888749795647,1.0382383341645542,1.1866511201402727,1.6259226327396366,1.3645593560288818,2.8611388041587165,3.670765282407223,1.2930645423933074,-0.28885478230773876,465
59,-0.93,0.53,-22.8,-0.024,1.00314,2.94,0.35,9.4,2,1.62,M,Desc,Reg 3,1,0.4944592849878475,0.10947784748088651,2.134350659649656,26.96963399965941,5.024209287273569,8.160184778665105,1.365902318445276,2.678195992482472,1.2988858081702728,1.6259226327396366,1.3645593560288818,0.17745101111516515,3.670765282407223,1.1416157875602355,-0.9742631805481669,241
60,0.24,1.27,10.3,0.18,0.96793,3.26,0.54,8.1,4,3.49,R,Desc,Reg 3,2,0.010272098034635357,0.9625940665480539,8.922166332698326,64.42039899508917,10.437217111419086,12.283609757696611,1.2030239322642529,3.159651451805163,1.3214003307741782,1.5093146148488465,1.9297524380738358,2.8611388041587165,14.6822947699758,0.4334658735454126,1.2030328895217848,683
61,2.73,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,1,1.99,M,****,Reg 1,0,0.5278934293313912,0.30849435997151886,38.87227835563933,93.87436762384453,9.42053636910582,9.131454948809973,1.3215333397426032,3.791561742166196,1.3155869179148063,2.1736367713307714,0.9649150833430776,0.4523644033192489,1e-08,1.160443031941803,0.06418435543530726,708
62,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,1,2.88,R,**,Reg 2,0,0.5984218668575806,0.2188359726112773,2.91987120671859,17.246094481452428,8.73631759808079,18.048182045898407,1.2360125375220725,2.422422779717292,1.3049242809763575,1.7905519845242452,0.9649150833430776,1.6310699752120132,1e-08,1.1973993029275882,-0.2797520331859057,720
63,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,3,1.92,R,***,Reg 3,0,0.7769514415272921,0.49019146308831507,10.046394375144779,85.44096030362157,26.269489872571405,4.292272836259104,1.4231830136915251,4.303108167696554,1.463217289738782,1.844704477647779,1.6712221139600012,0.39066410963580156,1e-08,1.2781605051634157,0.5277789646964357,678
64,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,3,4.54,R,Desc,Reg 1,0,0.004932821568999435,0.10626387397934589,12.219817140616463,21.065059055830158,9.697722974972654,9.247037998790091,1.3223854196577776,3.1145150024936608,1.2188123559923267,1.821693390669642,1.6712221139600012,5.782711503922515,1e-08,0.3608878800163968,-1.0041757972848495,766
65,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9.0,3,1.91,M,**,Reg 2,0,0.07205155121435347,0.42139555780744886,8.085628904127518,64.42039899508917,6.108753576391527,9.363347962210915,1.335386896231205,4.6190633128770715,1.306121968643238,1.5909538042725335,1.6712221139600012,0.38221891156350357,1e-08,0.7053501012329774,0.3764157146651103,382
66,0.34,-0.95,-21.0,0.028,0.98958,3.2,1.77,13.2,3,4.52,M,Desc,Reg 1,0,0.8008387874407402,0.5274256065736747,9.71838132959468,4.726920929083314,5.268254260320984,9.131454948809973,1.3102157350719503,3.0693785531821587,1.4450160102759542,1.9267286292442851,1.6712221139600012,5.7175574130007645,1e-08,1.287873414613875,0.6010509013684149,500
67,0.53,0.38,-40.3,-0.165,0.99062,2.88,0.6,18.3,4,2.54,B,***,Reg 1,1,0.6251303952000481,0.8104255813584239,11.324929159093257,22.605981020997355,2.9531987654959306,5.801291348298378,1.3147432426085062,2.587923093859467,1.3282766635037482,2.268597764016971,1.9297524380738358,1.0944939157392672,3.670765282407223,1.2105416926641734,1.0308791518996006,912
68,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,3,1.19,M,*,Reg 2,0,0.9345365046941254,0.1442585390033717,18.081143728913652,21.566660754236345,9.960056512834036,2.7724577941860487,1.2391798937863447,3.0844240362859927,1.137419689686789,2.218457800872334,1.6712221139600012,0.016682795433307814,1e-08,1.3385539254306327,-0.69745590648674,523
69,-0.72,0.15,2.3,0.012,0.99609,2.95,1.25,13.7,3,5.53,R,****,Reg 3,2,0.9371035241378292,0.9767899414615412,3.009702865187936,17.246094481452428,8.949600170898359,8.826787281239767,1.3378188158018045,2.6932414755863063,1.3967196678679625,1.9628795712311904,1.6712221139600012,9.469204859306977,14.6822947699758,1.3394721724655798,1.2176790270842983,756
70,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,2,1.88,B,***,Reg 3,0,0.34153109318528085,0.2657288219723223,8.536818271917417,20.334445877429346,1.9480604927348486,9.40227948633801,1.3251010644223085,4.257971718385052,1.137419689686789,1.7019776168880472,1.3645593560288818,0.35743701174175874,1e-08,1.0407475461822873,-0.08526097136547073,572
71,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,2,2.25,R,Desc,Reg 2,0,0.34074454505662566,0.609597005774292,21.80494149439717,21.065059055830158,8.73631759808079,10.878555826530587,1.3162132937970374,1.6400576583179183,1.126393987108307,1.5820908340698427,1.3645593560288818,0.721126071968063,1e-08,1.0401478250171405,0.74594793303531,719
72,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10.0,3,2.43,M,**,Reg 2,0,0.7251590121364694,0.34447131099120165,8.309692455502395,21.065059055830158,2.4996127313135186,9.363347962210915,1.5071938181656261,3.1746969349089973,1.3674482753417112,1.6770092450978342,1.6712221139600012,0.9437356726509212,1e-08,1.2563055770476925,0.17463310857581738,333
73,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,3,2.11,M,**,Reg 1,0,0.7522230332282661,0.2765040564390232,3.7773523735850025,23.695387234266697,8.949600170898359,6.2060775051325106,1.3423585021410047,4.498699448046398,1.1551132304898426,1.7508464835263349,1.6712221139600012,0.5686565288558465,1e-08,1.2678667277698568,-0.04545049044774609,472
