,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_raiz4,Densidad_cuarta,pH_ident,Sulfatos_sqr,Alcohol_sqr,CalifProductor_ident,PrecioBotella_raiz4,aleatorio_log,aleatorio2_exp,Compra
10,0.5,-0.11,6.1,0.071,0.9978,3.35,0.35,6.8,3,4.23,R,Desc,Reg 2,7.142857142857142,0.946803509112902,0.7895809253529404,3.3126281604204064,1.2654750476068983,3.0955203483259277,1.3316451630987025,109.55760690014986,3.2973101422162343,8.346508112042153,3.7408209679144853,2.2895803629984623,1.2161245502599978,1.1855706682919644,15.058697257517066,0
11,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,4,4.77,B,Desc,Reg 3,0.0,0.744260552505365,0.4936080587032746,3.442531225534932,1.289670660209751,4.415319399633325,1.3309748367937178,102.35683257262927,3.2220313718460005,9.048377253153644,1.230585250561924,3.0527404839979497,1.2640435932132843,0.9448036565982502,5.447944701756699,0
12,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,Reg 1,0.0,0.7605014326673935,0.41400406598234396,3.650376129718173,1.325509268949766,2.1391874014417867,1.231901619795404,68.13834775383006,2.8757490281429257,9.711025183072614,10.513339276579915,0.7632601209994871,1.3032526744093322,0.9663971230081305,4.144512298135916,1
13,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,Reg 3,0.0,0.18204807878669238,0.734946873244942,2.9748801911226392,1.3138869179151011,2.371567369843541,1.2373644965081125,182.93600666775265,3.0564180770314864,2.009352355845975,7.769400372441635,1.5264202419989747,1.086793543076542,-0.4642787460701265,12.481885388924068,1
14,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,Reg 2,0.0,0.7367331217494529,0.8757234866586323,3.1177735627486176,1.3668657388751029,3.038914971407552,1.4118501667130026,51.31088568637617,3.0564180770314864,18.920138304131367,3.1098312499062595,2.2895803629984623,1.0072653774901228,0.9346350090503049,20.24423600043198,1
15,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,Reg 2,0.0,0.7010280178188616,0.4580651524457239,2.8839480455424713,1.3267819217758923,3.378547232917808,1.3225089956656937,108.08798168131156,2.860693274068879,38.037855679894506,6.6991628066332165,1.5264202419989747,0.42927457241576644,0.8849411304482018,4.821776705268568,1
16,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,Reg 2,0.0,0.6393780299407157,0.3250654902514287,0.0001,1.3177952695356312,3.3070457041788064,1.3197652762639047,91.21283137090653,1.189504571849692,6.410888917160894,13.67144390017823,1.5264202419989747,0.9290417000549399,0.7928572762882693,3.053431190624121,1
17,-0.28,-1.2,16.2,0.048,0.9972,3.3,0.52,2.1,1,1.26,R,Desc,Reg 1,7.142857142857142,0.29054792763116555,0.9415748838092823,2.2993842525271053,1.0616721023808877,3.396422615102558,1.323874475884677,106.42656968473372,3.2220313718460005,9.443156288320674,0.35685204677092996,0.7632601209994871,0.6478544541463276,0.003694682844243859,25.38303140908254,0
18,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,Reg 3,0.0,0.345513878807709,0.4558909449781535,4.182978696687728,1.26839415782779,2.9584757515761755,1.3166579964777902,73.85143250203383,3.2220313718460005,8.221939407280686,12.640045747158638,2.2895803629984623,0.7847803060543197,0.17708588747957132,4.78589809799375,1
19,1.035,-1.11,6.0,0.073,1.03291,3.37,-1.14,9.9,5,1.31,B,Desc,Reg 2,7.142857142857142,0.8975095275845801,0.9780943024835558,4.007609558783118,1.0833238272068093,3.0925411179618028,1.3323144786389254,448.77193109881347,3.327421650364328,1.6303628633808547,7.928762792637971,3.8159006049974367,0.6769624724686746,1.1320893782957653,28.77570141600157,0
20,1.65,-2.27,9.2,-0.002,0.9893,3.04,0.54,9.7,3,3.2,R,*,Reg 3,7.142857142857142,0.7802425990551839,0.9289122919607086,4.806513409237452,0.1,3.1878764896138043,1.3064930417783953,71.14237971747073,2.8305817659207855,9.576622448565917,7.611655787086934,2.2895803629984623,1.104804461415186,0.9920317328886028,24.30258522370097,1
21,0.47,0.3,41.7,-0.058,0.9976,1.33,-0.35,9.4,4,3.28,R,Desc,Reg 1,7.142857142857142,0.6938916714743772,0.3441893420979587,3.2736572408860485,1.321669152862328,4.156126357954445,1.286164332322407,108.50635641777868,0.25604781925879494,4.543865130953685,7.148129040072693,3.0527404839979497,1.114713357275207,0.8747057313859858,3.2607578343440484,0
22,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,Reg 2,0.0,0.8161489448580381,0.14579648551714652,3.104783256237165,1.3417757119842857,3.053811123228177,1.3173504049317857,128.09035718579557,0.39154960592521504,19.298522961734427,24.21107357272003,1.5264202419989747,1.1848168401155472,1.0370367724381624,1.6494572926550874,1
23,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,Reg 2,0.0,0.03478756685419082,0.011611460270837926,2.844977126008114,1.1015360395343257,3.149146494880179,1.1453665641045176,329.1892404656442,3.1618083555498133,4.406533437885663,15.183350377754573,1.5264202419989747,0.981441246595079,-2.1246978738408933,1.0402882763844266,1
24,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,Reg 3,0.0,0.7860315560497282,0.9207073623699215,4.936416474351978,1.3293162967029115,4.471924776551701,1.3329827869634894,394.60480854409866,3.2822543881421873,20.35839761428526,14.743287924238844,3.0527404839979497,0.8114140148505935,0.9994259637679247,23.62717185217453,1
25,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,Reg 2,0.0,0.7961782685266133,0.916317180969838,3.13076386926007,1.3466637147498628,1.75784591483378,1.1891131096205492,126.90820945523178,4.080209354066664,8.98340024977124,6.264757086768508,1.5264202419989747,1.1745046677430586,1.012255897904979,23.27352334281371,1
26,0.19,0.26,54.0,0.039,0.98998,3.32,0.35,12.1,1,2.9,R,**,Reg 1,7.142857142857142,0.5991074750574417,0.7628850455468814,2.9099286585653763,1.3164963507494336,4.522571692741827,1.3207961754941981,73.77297416710407,3.2521428799940937,8.346508112042153,11.844048251892492,0.7632601209994871,1.0650482915013126,0.72777804276162,13.739169116515995,1
27,0.24,2.32,1.4,-0.356,1.03659,3.11,0.39,9.9,2,2.14,M,*,Reg 1,0.0,0.732499741098927,0.4740840810328746,2.9748801911226392,1.5278864468660014,2.9554965212120505,1.1572848952268158,507.3332174244451,2.9359720444391124,8.598455244349438,7.928762792637971,1.5264202419989747,0.9373736430427867,0.9288704663033864,5.0945443103519645,0
28,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,Reg 1,0.0,0.3041732996349218,0.0010240422400675797,3.13076386926007,1.3164963507494336,3.3070457041788064,1.3248958201655345,108.50635641777868,2.7703587496245987,18.174607880062645,9.435827142278836,1.5264202419989747,0.6599624367118698,0.04955948507900444,1.0031331743506413,1
29,1.63,1.0,1.9,0.846,0.96939,2.28,0.03,4.0,9,3.23,B,Desc,Reg 3,7.142857142857142,0.7236252197509715,0.04913416790384739,4.780532796214546,1.4037043621195981,2.9703926730326757,1.5380567690524567,20.538660351488975,1.6863444562932337,6.465797747232707,1.294495415101455,6.868541088995386,1.1085514819029012,0.9166772050084653,1.1834036865901203,0
30,0.42,0.32,2.5,0.601,0.99639,3.32,1.99,15.6,4,1.6,R,Desc,Reg 1,0.0,0.40705944621682355,0.3321241513386378,3.2087057083287855,1.3242329398165344,2.988268055217426,1.4817910278128903,102.30671144231965,3.2521428799940937,21.74830411419749,19.68670173706136,3.0527404839979497,0.7984302699833709,0.3411137481221483,3.1283748236463094,0
31,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,Reg 2,0.0,0.8340750888999992,0.683927093411235,3.0268414171684497,1.3633655144233991,1.5105697946114007,1.4596671490917767,106.42656968473372,4.245822648881178,1.858904295129062,6.847200382938067,2.2895803629984623,0.1,1.0587694389659044,10.47526512253976,1
32,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,Reg 3,0.0,0.21695372306295746,0.6908677076568787,3.0268414171684497,1.3280509229084267,2.976351133760926,1.5759733888513763,6.117693567562142,3.1618083555498133,23.288415875284095,6.847200382938067,1.5264202419989747,0.6823544839002994,-0.28866051363283135,10.728019564609264,1
33,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,15.2,2,1.31,M,*,Reg 1,7.142857142857142,0.04154443656949791,0.528133156977942,3.234686321351691,1.3112618444695807,3.041894201771677,0.1,354.9541952649692,3.1618083555498133,9.509772296660616,18.690092721431757,1.5264202419989747,0.6769624724686746,-1.9461045346537422,6.133944525830545,1
34,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,8.9,2,1.0,M,*,Reg 1,7.142857142857142,0.09986989651821432,0.009680653103235293,2.9618898846111867,1.3368336976885702,2.8005765422775477,1.3392821481803123,105.34672643881348,3.5080906992528886,12.139167531688296,6.407941158548437,1.5264202419989747,0.1,-1.0657302712397523,1.0334112379183469,1
35,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,Reg 1,0.0,0.255746426488238,0.5196844032892916,2.9099286585653763,1.3355895904478292,1.8204097524804057,1.3231922641949743,97.43511916478002,2.981139306661253,18.452425712348198,7.769400372441635,1.5264202419989747,1.1195702985698452,-0.12399602425529925,5.958478191434213,1
36,-0.68,2.9,-11.4,0.056,0.99755,4.12,-0.34,9.7,1,1.86,MM,Desc,Reg 3,0.0,0.3930083179134203,0.14336906078623068,1.7797719920690023,1.5740202647027097,2.574155034604044,1.3265928300532608,108.24473016383808,4.456603205917832,4.590110649107083,7.611655787086934,0.7632601209994871,0.8736062177655827,0.3059649312426619,1.6357602846056059,0
37,-0.06,-1.57,-41.4,-0.403,0.99977,2.51,0.49,16.7,3,5.42,R,***,Reg 3,7.142857142857142,0.09428408036510727,0.4307545989058167,2.585170995779062,0.954824355052935,1.6803859253665288,1.1325200594178002,120.32543975800692,2.0326267999963084,9.244713124693028,22.560847904478106,2.2895803629984623,1.3153207036750196,-1.123423976180619,4.389986096474962,1
38,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,Reg 1,0.0,0.9732662731779792,0.18279172685355016,3.3645893864662164,1.285499315606442,4.370630944171449,1.3392821481803123,111.6830053355268,4.275934157029271,11.396910789546057,6.847200382938067,3.8159006049974367,0.544855784224817,1.2131434455992185,1.8729810135167222,1
39,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,Reg 3,0.0,0.5846367626807893,0.43173396223809113,2.9748801911226392,1.289670660209751,2.967413442668551,1.5453942864506884,33.4094530236841,4.607160746658299,1.7143098235462133,12.040620873446565,1.5264202419989747,1.0920308812598523,0.7033181976586739,4.404780111199256,1
40,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,Reg 3,0.0,0.32744326410036395,0.09748352649510406,2.9748801911226392,1.3862097606012664,3.104458039418303,1.323874475884677,92.69306771474966,1.957348029626075,9.643706744036583,8.918911845490445,1.5264202419989747,0.943479851317439,0.12333084732655102,1.3972179245173495,1
41,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,Reg 2,0.0,0.5445131507402926,0.9625006803427605,2.8839480455424713,1.321669152862328,4.5821563000243275,1.3190766656772261,79.9997734282461,3.5984252236971686,9.244713124693028,2.6284969430445257,1.5264202419989747,0.7590217104575111,0.6321903448275399,27.27483759964663,1
42,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,Reg 2,0.0,0.5278515990176019,0.28747738950303636,2.9748801911226392,1.1081385043354008,4.212731734872822,1.322166963890807,443.47931287733275,4.306045665177364,6.687774503173585,8.252341137555565,1.5264202419989747,0.6978069223406546,0.6010999972937455,2.6835603438939732,1
43,2.73,0.33,-16.8,0.042,0.99082,4.14,0.58,16.9,2,1.32,R,***,Reg 3,7.142857142857142,0.1540512157291104,0.8522330247304712,6.20946651247433,1.325509268949766,2.413276594941291,1.3218246664688171,77.12247482345465,4.486714714065925,9.846364491840758,23.104451787858853,1.5264202419989747,0.6823544839002994,-0.6314960426461986,18.674825115781644,1
44,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,Reg 2,0.0,0.9338653176957697,0.7457001634909552,2.0655587353209595,1.26839415782779,3.0121018981304264,1.339940090187163,157.77078468804245,3.673703994067403,14.342050786459431,26.79561592689364,3.0527404839979497,1.028142150896412,1.1718079219611999,12.95158029378535,1
45,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,Reg 1,0.0,0.03198893342855036,0.3017729814696848,4.5467072790084,1.0993086044878901,2.9614549819403004,1.3228507622740227,97.14557398186066,4.56199348443616,1.7714451814832652,3.8516483428615995,3.8159006049974367,0.9071696117745075,-2.2091546064593177,2.8186335110171665,1
46,0.04,-0.22,-9.7,0.628,0.99413,3.04,1.12,11.0,4,4.63,M,Desc,Reg 3,7.142857142857142,0.7011868596955498,0.7079242665623912,2.715074060893588,1.2490471733543387,2.62480195079417,1.4883107865334466,91.4429413218117,2.8305817659207855,13.854550899408832,9.788526514345964,3.0527404839979497,1.2521418597967893,0.885167763873873,11.3753775983449,0
47,-0.88,0.26,6.8,0.298,0.96461,3.15,0.32,5.6,1,1.39,R,Desc,Reg 1,7.142857142857142,0.24027589936103289,0.4447459929441415,1.519965861839951,1.3164963507494336,3.1163749608748033,1.4019101945864298,14.243187869685656,2.9961950607352996,8.160006270247996,2.537083586197101,0.7632601209994871,0.7169348922353066,-0.1864529911703821,4.606133964512094,1
48,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,Reg 2,0.0,0.9030929006920818,0.9426798700806247,2.9099286585653763,1.1776610550470497,3.295128782722306,1.3255754063621,109.45213954627584,4.306045665177364,20.750830885810075,0.5898543937355267,2.2895803629984623,1.1585076289429292,1.1382926667226652,25.479563829180407,1
49,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,Reg 1,0.0,0.713877593806072,0.4854051065835081,3.76079373506552,1.2826956956750994,2.151104322898287,1.3642536712736346,180.7759588437681,3.2521428799940937,9.31062670233688,9.788526514345964,3.0527404839979497,0.7471310224021734,0.9031107364849439,5.296572315785287,1
50,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,Reg 2,0.0,0.09753939012192026,0.3188661963854469,2.896938352053924,1.3229529095009709,3.8701202429984414,1.377756318179663,11.921836374703233,4.035042091844524,5.212609449549259,9.435827142278836,2.2895803629984623,0.8956126909045615,-1.0893978320625972,2.989093925915471,1
51,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,Reg 1,0.0,0.7522798464173944,0.19209608509530418,1.584917394397214,1.215752973616045,2.985288824853301,1.2557363616912485,82.0187931772377,3.146752601475767,7.259106442601159,8.749842416244265,0.7632601209994871,0.9269232904549574,0.9555241881710823,1.933812309640037,1
52,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,Reg 1,0.0,0.9289773781915194,0.07560139295581714,3.221696014840238,1.3280509229084267,3.5483633636729355,1.4537829524870123,3.6341494273256196,3.327421650364328,9.31062670233688,17.480732735831676,1.5264202419989747,0.9026000223898583,1.1665587758184368,1.2960409575301142,1
53,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,Reg 3,0.0,0.22171557233556727,0.6920633152736179,2.9748801911226392,1.3229529095009709,3.3040664738146814,1.324555634541154,3.3826352162424267,2.845637519994832,9.509772296660616,8.749842416244265,2.2895803629984623,0.9116711726183807,-0.2669262739546643,10.77217139341849,1
54,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,Reg 2,0.0,0.7906132078339769,0.8922625803530608,3.6828518959968046,1.3783430439213527,2.749929626087422,1.0484875843270318,73.1085996592546,4.050097845918571,3.2653763442453108,9.967302952641989,0.0001,0.544855784224817,1.005239589782555,21.427705192213857,1
55,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,Reg 3,0.0,0.8736467607529357,0.45304750798427773,2.8579674325195663,1.4467549754204392,4.057811755938319,1.3204528106508666,181.62225466726525,5.359948450360635,8.854148673702522,12.843089708079274,2.2895803629984623,1.1958577051267967,1.1051347202057717,4.739378487579712,1
56,-0.2,1.73,2.0,0.124,0.99516,2.69,0.7,16.0,5,2.89,R,Desc,Reg 3,7.142857142857142,0.6335693355344141,0.6843818665678405,2.403306704618726,1.4762271854584643,2.9733719033968007,1.349051146865919,96.28080941890887,2.30363037332915,10.678068403940076,20.7091961101572,3.8159006049974367,1.0636442471121323,0.7837275196860491,10.491642616024514,0
57,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,Reg 3,7.142857142857142,0.11338335545971145,0.7050284446022471,2.013597509275149,1.3368336976885702,4.019081761204693,1.3170043372161402,28.56687349607455,4.78782979554686,25.642542889313674,10.329709333758966,1.5264202419989747,0.9138971713181608,-0.9385468997046982,11.262780375378274,1
58,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,Reg 2,0.0,0.1998688733973284,0.10624165101009797,2.1175199613667695,1.4780689808794165,3.028487665133114,1.468237297881966,7.408684553859079,1.3400621125901588,20.94845238296466,11.264037396280115,2.2895803629984623,1.2027275799414452,-0.37077444682152405,1.439892869721833,1
59,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,Reg 2,0.0,0.002804640338516573,0.6975640740121901,4.481755746451137,1.467852588225182,3.384505693646058,1.3269314516539337,386.5300993798453,1.294894850368019,19.108862345802166,6.847200382938067,1.5264202419989747,0.8579559656498614,-4.722213612247503,10.977658156181757,1
60,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,Reg 1,0.0,0.09640084956237038,0.865329532664122,3.5984149036723627,1.3478774364170891,3.101478809054178,1.2767691320728383,6.057320912829281,3.8393172888819165,13.139105759494903,10.513339276579915,2.2895803629984623,1.0433767026879346,-1.101167233534183,19.534167380581838,1
61,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,Reg 1,0.0,0.9055178132282624,0.28289352629147557,4.0141047120388444,1.3072944244498816,4.203794043780446,1.324555634541154,235.63959176208877,2.9058605362910193,31.779209213815733,10.698587054242504,2.2895803629984623,0.5550331677118048,1.1409748750581077,2.6416350092715777,1
62,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,Reg 2,0.0,0.4577057134488052,0.28226572667438876,2.9099286585653763,1.414314857133928,3.2474610968963056,1.3282833522517377,41.60420257979218,2.755302995550552,4.406533437885663,6.996855794084561,2.2895803629984623,0.7847803060543197,0.458443952857524,2.6359442009777285,1
63,1.7,-1.03,3.4,0.048,0.9944,4.25,0.41,9.4,3,1.0,R,**,Reg 2,0.0,0.12467672093046023,0.3979359900487148,4.871464941794715,1.1015360395343257,3.0150811284945513,1.323874475884677,92.69306771474966,4.652328008880439,8.725833671895256,7.148129040072693,2.2895803629984623,0.1,-0.8434119102562956,3.9219482738837135,0
64,0.47,-0.86,-58.1,0.174,0.99514,2.43,0.61,10.9,3,2.75,M,Desc,Reg 2,7.142857142857142,0.6340598820321224,0.47039850067184386,3.2736572408860485,1.1374889292150085,1.1828544545576452,1.3648761739748292,96.1850821213965,1.9121807674039353,10.051129531733192,9.611367910891579,2.2895803629984623,1.0433767026879346,0.784501761681889,5.030450922409168,0
65,0.22,1.22,-50.4,0.26,1.03038,2.62,2.1,11.0,1,3.01,M,Desc,Reg 2,0.0,0.6829552334130198,0.17546534417192916,2.9488995780997342,1.4267401791668346,1.4122551925952742,1.3908732491914035,411.5599608491889,2.198240094810823,22.872568247223025,9.788526514345964,0.7632601209994871,1.0801385154188166,0.8588138413010263,1.826431223823509,0
66,0.39,0.1,1.7,0.075,0.99581,3.09,0.43,9.7,4,5.21,M,Desc,Reg 3,0.0,0.16634661270980655,0.06150052285723384,3.169734788794428,1.2951702490836459,2.964434212304426,1.3329827869634894,99.43103803282541,2.9058605362910193,8.854148673702522,7.611655787086934,3.0527404839979497,1.2994117623309551,-0.5545962042686036,1.234758378192112,0
67,0.22,1.87,59.8,-0.04,1.03646,4.23,0.42,8.7,2,1.0,B,**,Reg 3,7.142857142857142,0.2463102982543015,0.4288407259339756,2.9488995780997342,1.4889777529937573,4.695367053861079,1.2928035315201192,505.17183650297,4.622216500732346,8.789874101016208,6.123190849830216,1.5264202419989747,0.1,-0.16162507504190438,4.361218888110806,1
68,-0.73,1.41,4.0,0.595,0.99787,3.47,0.4,9.2,5,1.0,B,**,Reg 1,14.285714285714285,0.6640674921945796,0.10948960668604613,1.7148204595117393,1.4457738138395921,3.032956510679302,1.4803304442274774,109.92734297325745,3.4779791911047955,8.662027386339666,6.847200382938067,3.8159006049974367,0.1,0.8307586657821443,1.4560481171400574,1
69,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,Reg 2,0.0,0.025995150920033905,0.15414091949484898,3.039831723679902,1.3318362584320123,2.9495380604838006,0.9640325550653713,415.9903847741265,3.191919863697907,8.40914367977093,26.79561592689364,0.7632601209994871,0.6714384500909786,-2.418318024151921,1.6974224163068714,1
70,0.38,0.26,2.0,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,Reg 2,7.142857142857142,0.5559802931066748,0.6443975941807522,3.1567444822829756,1.3164963507494336,2.9733719033968007,1.3194211057411815,25.238922939186978,3.0413623229574402,9.113588400101408,14.962510233575893,1.5264202419989747,0.6539925036819583,0.6530398791054851,9.14517301770419,1
71,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,Reg 1,0.0,0.7767183219044159,0.7988394432219544,4.286901148779348,1.4348467896885388,3.960986769104255,1.3180417233001798,86.17123919826706,4.155488124436897,1.88852562014172,2.272550524704673,1.5264202419989747,1.1888673505546596,0.9875032540806312,15.545330493711141,1
72,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,Reg 1,0.0,0.913722417312387,0.5638275617906502,5.2741644436497435,1.4226345089867254,1.7608251451979047,1.1914579323080146,143.76878730206036,2.0627383081444024,10.962795635398116,24.491773606039416,3.0527404839979497,0.1,1.149997047864674,6.934121661330603,1
73,0.52,0.36,1.5,0.636,0.98976,4.31,1.29,18.3,1,1.04,R,***,Reg 1,7.142857142857142,0.2310155858018137,0.7960103901695978,3.3386087734433114,1.3293162967029115,2.9584757515761755,1.4902262094307017,72.91405222675701,4.742662533324719,15.257693002746931,27.0908764737878,0.7632601209994871,0.40605752594820366,-0.2257943425501271,15.394988337131492,1
74,0.25,0.28,7.7,0.871,1.045,1.85,3.12,9.4,2,3.49,R,***,Reg 3,7.142857142857142,0.009551861441434273,0.9440933220435549,2.9878704976340917,1.319090358701851,3.1431880341519287,1.5434621712236505,662.5579857695077,1.0389470311092246,34.64693230246237,7.148129040072693,1.5264202419989747,1.139537803319024,-3.435092596277657,25.60357937512784,1
